location,people_vaccinated_per_hundred,date,gdp_per_capita,continent,population,country_code
Benin,12.54,2021-12-21,2064.236,Africa,12451031.0,BEN
Uganda,17.73,2021-12-20,1697.707,Africa,47123533.0,UGA
Denmark,82.29,2021-12-24,46682.515,Europe,5813302.0,DNK
Costa Rica,76.57,2021-12-21,15524.995,North America,5139053.0,CRI
Bermuda,74.4,2021-12-17,50669.315,North America,62092.0,BMU
Croatia,55.15,2021-12-23,22669.797,Europe,4081657.0,HRV
Hungary,64.83,2021-12-22,26777.561,Europe,9634162.0,HUN
Turks and Caicos Islands,74.47,2021-11-05,-inf,North America,39226.0,TCA
Japan,79.54,2021-12-23,39002.223,Asia,126050796.0,JPN
Montserrat,30.74,2021-11-12,-inf,North America,4981.0,MSR
India,59.91,2021-12-24,6426.674,Asia,1393409033.0,IND
Mali,4.15,2021-12-23,2014.306,Africa,20855724.0,MLI
Malawi,7.28,2021-12-23,1095.042,Africa,19647681.0,MWI
Peru,72.2,2021-12-21,12236.706,South America,33359415.0,PER
Israel,69.94,2021-12-24,33132.32,Asia,9291000.0,ISR
Syria,6.49,2021-12-19,-inf,Asia,18275704.0,SYR
Bulgaria,27.61,2021-12-05,18563.307,Europe,6896655.0,BGR
Italy,79.68,2021-12-24,35220.084,Europe,60367471.0,ITA
Latvia,70.03,2021-12-23,25063.846,Europe,1866934.0,LVA
Cambodia,84.03,2021-12-23,3645.07,Asia,16946446.0,KHM
Belize,56.73,2021-12-17,7824.362,North America,404915.0,BLZ
Kenya,11.52,2021-12-23,2993.028,Africa,54985702.0,KEN
Niue,74.47,2021-08-02,-inf,Oceania,1614.0,NIU
Curacao,63.1,2021-12-24,-inf,North America,164796.0,CUW
Luxembourg,72.26,2021-12-19,94277.965,Europe,634814.0,LUX
Liechtenstein,68.32,2021-12-22,-inf,Europe,38254.0,LIE
El Salvador,68.68,2021-12-22,7292.458,North America,6518500.0,SLV
Suriname,44.1,2021-12-23,13767.119,South America,591798.0,SUR
Tunisia,54.98,2021-12-23,10849.297,Africa,11935764.0,TUN
Guyana,55.68,2021-12-23,7435.047,South America,790329.0,GUY
Estonia,63.35,2021-12-23,29481.252,Europe,1325188.0,EST
Mexico,62.88,2021-12-20,17336.469,North America,130262220.0,MEX
Bonaire Sint Eustatius and Saba,72.26,2021-09-01,-inf,North America,26445.0,BES
Argentina,82.98,2021-12-24,18933.907,South America,45605823.0,ARG
Guinea,12.89,2021-12-21,1998.926,Africa,13497237.0,GIN
Niger,2.02,2021-11-28,926.0,Africa,25130810.0,NER
Kosovo,49.49,2021-12-23,9795.834,Europe,1782115.0,OWID_KOS
Bangladesh,52.64,2021-12-17,3523.984,Asia,166303494.0,BGD
Pitcairn,100.0,2021-09-07,-inf,Oceania,47.0,PCN
Tajikistan,36.11,2021-12-19,2896.913,Asia,9749625.0,TJK
Iraq,20.38,2021-12-22,15663.986,Asia,41179351.0,IRQ
Wallis and Futuna,54.23,2021-11-30,-inf,Oceania,11094.0,WLF
Falkland Islands,74.6,2021-04-14,-inf,South America,3528.0,FLK
France,77.98,2021-12-23,38605.671,Europe,67564251.0,FRA
Honduras,49.1,2021-12-22,4541.795,North America,10062994.0,HND
Belarus,46.13,2021-12-19,17167.967,Europe,9442867.0,BLR
Papua New Guinea,3.11,2021-12-20,3823.194,Oceania,9119005.0,PNG
Sao Tome and Principe,38.68,2021-12-13,3052.714,Africa,223364.0,STP
Grenada,36.33,2021-12-17,13593.877,North America,113015.0,GRD
Ecuador,78.49,2021-12-17,10581.936,South America,17888474.0,ECU
Kiribati,49.01,2021-11-30,1981.132,Oceania,121388.0,KIR
Madagascar,2.07,2021-12-06,1416.44,Africa,28427333.0,MDG
Singapore,88.0,2021-12-18,85535.383,Asia,5453600.0,SGP
Samoa,70.66,2021-12-20,6021.557,Oceania,200144.0,WSM
Turkmenistan,71.51,2021-08-29,16389.023,Asia,6117933.0,TKM
Libya,26.24,2021-12-23,17881.509,Africa,6958538.0,LBY
Taiwan,78.22,2021-12-24,-inf,Asia,23855008.0,TWN
Burkina Faso,4.52,2021-12-22,1703.102,Africa,21497097.0,BFA
Sint Maarten (Dutch part),62.38,2021-12-17,36327.232,North America,43421.0,SXM
Antigua and Barbuda,62.95,2021-12-19,21490.943,North America,98728.0,ATG
Azerbaijan,50.41,2021-12-24,15847.419,Asia,10223344.0,AZE
Kuwait,76.92,2021-12-23,65530.537,Asia,4328553.0,KWT
Belgium,76.51,2021-12-23,42658.576,Europe,11632334.0,BEL
Panama,69.01,2021-12-24,22267.037,North America,4381583.0,PAN
Jersey,80.03,2021-12-19,-inf,Europe,101073.0,JEY
Uzbekistan,55.0,2021-12-24,6253.104,Asia,33935765.0,UZB
Gambia,9.81,2021-12-14,1561.767,Africa,2486937.0,GMB
United Arab Emirates,98.99,2021-12-23,67293.483,Asia,9991083.0,ARE
Vanuatu,32.53,2021-12-20,2921.909,Oceania,314464.0,VUT
Somalia,7.12,2021-12-23,-inf,Africa,16359500.0,SOM
Greenland,71.12,2021-12-23,-inf,North America,56868.0,GRL
Bhutan,75.62,2021-12-20,8708.597,Asia,779900.0,BTN
Colombia,74.26,2021-12-22,13254.949,South America,51265841.0,COL
Saint Lucia,30.11,2021-12-24,12951.839,North America,184401.0,LCA
Slovakia,49.66,2021-12-23,30155.152,Europe,5460726.0,SVK
Vietnam,78.11,2021-12-23,6171.884,Asia,98168829.0,VNM
Malaysia,79.21,2021-12-24,26808.164,Asia,32776195.0,MYS
Jordan,41.89,2021-12-23,8337.49,Asia,10269022.0,JOR
Iceland,83.82,2021-12-23,46482.958,Europe,343360.0,ISL
Guatemala,35.47,2021-12-23,7423.808,North America,18249868.0,GTM
Finland,78.3,2021-12-24,40585.721,Europe,5548361.0,FIN
North Macedonia,40.35,2021-12-19,13111.214,Europe,2082661.0,MKD
Rwanda,55.16,2021-12-23,1854.211,Africa,13276517.0,RWA
Saudi Arabia,70.55,2021-12-24,49045.411,Asia,35340680.0,SAU
China,84.82,2021-11-19,15308.712,Asia,1444216102.0,CHN
Lithuania,70.98,2021-12-24,29524.265,Europe,2689862.0,LTU
Solomon Islands,25.56,2021-12-20,2205.923,Oceania,703995.0,SLB
